Player,Squad,Pos,Min,90s,Gls,xG,Ast,xAG,SoT,KP,Attacking_Efficiency,Defensive_Efficiency,Goals_p90,xG_p90,Assists_p90,xAG_p90,SoT_p90,KeyPasses_p90,Goals_Added
Nathan Ordaz,Los Angeles FC,ST,8,0.09,1,0.6302,0,0.0,1,0,100.0,13.45,11.25,7.09,0.0,0.0,11.25,0.0,0.351
Zakaria Taifi,Orlando City SC,FB,11,0.12,0,0.0,1,0.3245,0,1,42.41,33.23,0.0,0.0,8.182,2.655,0.0,8.182,0.205
Bryan Zamblé,San Diego FC,W,22,0.24,1,0.12430000000000001,0,0.0,1,0,29.84,41.74,4.091,0.509,0.0,0.0,4.091,0.0,0.096
Sam Surridge,Nashville SC,ST,184,2.04,4,3.0773,0,0.0,7,0,26.91,61.24,1.957,1.505,0.0,0.0,3.424,0.0,0.882
Anders Dreyer,San Diego FC,W,295,3.28,2,1.9557,3,0.9953000000000001,7,9,26.11,90.75,0.61,0.597,0.915,0.304,2.136,2.746,1.622
Gabriel Pec,LA Galaxy,W,254,2.82,0,0.9887,2,1.6818,10,7,22.7,72.12,0.0,0.35,0.709,0.596,3.543,2.48,1.065
João Klauss,LA Galaxy,ST,240,2.67,4,2.0051,0,0.12710000000000002,6,2,22.36,70.21,1.5,0.752,0.0,0.048,2.25,0.75,1.152
Lionel Messi,Inter Miami CF,AM,311,3.46,3,1.8278,0,0.7324,5,5,21.93,100.0,0.868,0.529,0.0,0.212,1.447,1.447,1.852
Hugo Cuypers,Chicago Fire FC,ST,205,2.28,2,1.6559,0,0.485,5,4,21.54,67.22,0.878,0.727,0.0,0.213,2.195,1.756,1.141
Dénis Bouanga,Los Angeles FC,W,301,3.34,1,2.4718,1,1.4528,7,5,21.38,87.51,0.299,0.739,0.299,0.434,2.093,1.495,1.502
Tiago,Orlando City SC,ST,57,0.63,1,0.762,0,0.0,2,0,21.33,36.86,1.579,1.203,0.0,0.0,3.158,0.0,0.367
Timo Werner,San Jose Earthquakes,W,82,0.91,0,0.0,2,1.3357,0,4,19.39,42.03,0.0,0.0,2.195,1.466,0.0,4.39,0.337
Marcel Hartel,St. Louis City SC,W,201,2.23,1,0.6173000000000001,0,0.6095,6,7,18.94,51.37,0.448,0.276,0.0,0.273,2.687,3.134,0.579
Pedro Amador,Atlanta United FC,CM,24,0.27,0,0.0273,0,0.3875,0,2,18.66,35.89,0.0,0.102,0.0,1.453,0.0,7.5,0.164
Preston Judd,San Jose Earthquakes,ST,221,2.46,2,1.7461,0,0.0,6,0,18.05,62.42,0.814,0.711,0.0,0.0,2.443,0.0,1.069
Morgan Guilavogui,Real Salt Lake,W,116,1.29,0,0.9413,1,0.6685,1,3,16.98,63.05,0.0,0.73,0.776,0.519,0.776,2.328,0.812
Rafael Navarro,Colorado Rapids,ST,317,3.52,2,2.1703,0,0.1497,7,4,16.91,61.9,0.568,0.616,0.0,0.043,1.987,1.136,0.895
Nicolás Fernández,New York City FC,ST,297,3.3,2,1.188,0,0.9257000000000001,4,5,16.59,69.86,0.606,0.36,0.0,0.281,1.212,1.515,1.107
Cedric Teuchert,St. Louis City SC,W,98,1.09,0,0.6806,0,0.0868,4,1,16.03,52.41,0.0,0.625,0.0,0.08,3.673,0.918,0.507
Christian Ramírez,Austin FC,ST,52,0.58,1,0.4499,0,0.0,1,0,15.93,30.12,1.731,0.779,0.0,0.0,1.731,0.0,0.04
Julian Hall,New York Red Bulls,ST,281,3.12,3,2.1515,0,0.054,5,1,15.38,48.71,0.961,0.689,0.0,0.017,1.601,0.32,0.626
Pep Biel,Charlotte FC,AM,292,3.24,3,1.2823,0,0.672,5,5,15.24,41.97,0.925,0.395,0.0,0.207,1.541,1.541,0.365
Aleksey Miranchuk,Atlanta United FC,W,162,1.8,2,0.5891000000000001,0,0.3009,2,3,14.97,45.1,1.111,0.327,0.0,0.167,1.111,1.667,0.36
Albert Rusnák,Seattle Sounders FC,AM,289,3.21,1,0.9662000000000001,1,0.8543000000000001,4,6,14.64,55.08,0.311,0.301,0.311,0.266,1.246,1.869,0.687
Marcus Ingvartsen,San Diego FC,ST,222,2.47,2,0.6599,2,0.5405,3,5,14.54,29.19,0.811,0.268,0.811,0.219,1.216,2.027,-0.056
Brian White,Vancouver Whitecaps FC,ST,291,3.23,3,2.3745,0,0.0,5,0,14.51,46.44,0.928,0.734,0.0,0.0,1.546,0.0,0.576
David Martínez,Los Angeles FC,W,236,2.62,2,0.8765000000000001,0,0.6159,3,2,14.32,58.85,0.763,0.334,0.0,0.235,1.144,0.763,0.813
Keaton Parks,New York City FC,DM,213,2.37,2,1.0894,0,0.2495,2,3,14.23,50.79,0.845,0.46,0.0,0.105,0.845,1.268,0.624
Son Heung-Min,Los Angeles FC,ST,302,3.36,0,1.4858,2,1.5131000000000001,2,8,14.16,55.19,0.0,0.443,0.596,0.451,0.596,2.384,0.618
Sebastian Berhalter,Vancouver Whitecaps FC,DM,294,3.27,1,0.2857,1,1.9535,1,9,14.03,57.17,0.306,0.087,0.306,0.598,0.306,2.755,0.689
Wikelman Carmona,CF Montréal,AM,163,1.81,2,0.7885000000000001,0,0.020200000000000003,3,1,13.95,39.86,1.104,0.435,0.0,0.011,1.656,0.552,0.283
